17	105	
17	107	
17	109	
17	111	
17	109	
17	107	
17	105	
20	103	
20	101	
20	100	
22	98	
22	96	
22	94	
25	92	
27	90	
27	89	
29	87	
29	85	
32	83	
32	82	
34	80	
34	78	
36	77	
36	75	
38	74	
38	72	
40	71	
40	69	
42	68	
42	66	
44	65	
44	64	
46	62	
46	61	
47	60	
49	62	
51	63	
53	65	
54	67	
56	69	
57	70	
57	72	
59	73	
60	75	
62	76	
63	78	
65	79	
66	81	
66	82	
67	83	
68	85	
70	86	
71	87	
71	89	
72	90	
73	91	
75	92	
76	93	
77	94	
78	96	
79	97	
79	98	
80	99	
81	100	
82	101	
83	102	
84	103	
85	104	
86	105	
87	106	
88	106	
88	107	
89	108	
90	109	
91	110	
92	111	
93	112	
93	111	
94	112	
95	113	
96	114	
96	114	
97	115	
98	116	
98	117	
98	118	
99	118	
